author,year,title,document,pages
"MERVOYER E., RENE P.", 03-2006, Le recul des fronts glaciaires en 2005 – Les vitesses d’écoulement du glacier d’Ossoue – Les moraines du glacier du Taillon – La sonde à névé (outil de mesures) – Le planning 2006 des mesures glaciologiques, Bulletin de l’Association Moraine n°19, 4p.
"MERVOYER E., RENE P.", 12-2005, Le bilan de masse 2004-05 du glacier d’Ossoue – Les tunnels du glacier des Oulettes – L’épaisseur des glaciers d’Aneto et de la Maladeta – Le carottier (outil de mesure) – Le rapport d’étude glaciologique 2004-05, Bulletin de l’Association Moraine n°18, 4p.
"MERVOYER E., RENE P.", 09-2005, Le glacier de Boum : caractéristiques en 2005 – La sonde à vapeur – -38m dans le glacier d’Ossoue – La IVème sortie glaciologique (compte rendu) – Une assemblée Générale “glaciaire”, Bulletin de l’Association Moraine n°17, 4p.
"MERVOYER E., RENE P.", 06-2005, Un remarquable amphithéâtre morainique – La IVème sortie glaciologique – Variations frontales du glaciers des Oulettes – Mesure d’accumulation au glacier d’Ossoue – Une plaquette de l’Association Moraine, Bulletin de l’Association Moraine n°16, 4p.
"MERVOYER E., RENE P.", 03-2005, La plus belle empreinte glaciaire des Pyrénées –  Glaciers de vallée, de cirque, suspendus…  – Trois ans de bilan de masse au glacier d’Ossoue –  Un planning de mesures chargé en 2005, Bulletin de l’Association Moraine n°15, 4p.
"MERVOYER E., RENE P.", 12-2004, Identifier les anciens glaciers sur les cartes topos –  Glaciers polaires, tempérés ou équatoriaux  - Visite de moulins glaciaires (glacier d’Ossoue) –  Le rapport d’étude glaciologique 2003-04  – Un livre sur les glaciers des Pyrénées françaises, Bulletin de l’Association Moraine n°14, 4p.
"MERVOYER E., RENE P.", 09-2004, Les risques d’origine glaciaire –  Glaciers blancs, noirs ou rocheux  – Implantation de balises au glacier de la Maladeta –  La visite du glacier du Mont Valier – Conférence au refuge du Portillon, Bulletin de l’Association Moraine n°13, 4p.
"MERVOYER E., RENE P.", 06-2004, Mesures d’accumulation au glacier d’Ossoue – Mesures d’accumulation au glacier de la Maladeta  – Des glaciers meurent, des lacs naissent –  Un panneau “glacé” pour le refuge du Portillon – La sortie glaciologique 2004 au Mont Valier, Bulletin de l’Association Moraine n°12, 4p.
"MERVOYER E., RENE P.", 03-2004, Les grottes du Comte Russell et le glacier d’Ossoue – Perte d’épaisseur du glacier d’Ossoue depuis 1948 – La glace dans tous ses états – La tragédie du guide Barrau à la Maladeta – Le colloque annuel de glaciologie, Bulletin de l’Association Moraine n°11, 4p.
"MERVOYER E., RENE P.", 12-2003, Tables glaciaires et cônes de poussière – Variations d’épaisseur depuis 1880 (glacier d’Ossoue) – Bilan de masse 2002-03 du glacier d’Ossoue – Le rapport annuel de suivi glaciologique (2002-03) – Une étude de reconstitution de variations frontales, Bulletin de l’Association Moraine n°10, 4p.
"MERVOYER E., RENE P.", 09-2003, Glacier S.A. : construction de digues et talus – Les vitesses d’écoulement du glacier d’Ossoue – Evolution des fronts glaciaires en 2003 – Un panneau glaciologique au refuge Bayssellance – IIème sortie glaciologique : massif d’Aneto, Bulletin de l’Association Moraine n°9, 4p.
"MERVOYER E., RENE P.", 06-2003, Comment diagnostiquer l’état de santé d’un glacier ? – Mesures d’accumulation au glacier d’Ossoue – Un glacier au Canigou ? – Coopération glaciologique transfrontalière – Journée glaciologique à Mijanès (09), Bulletin de l’Association Moraine n°8, 4p.
"MERVOYER E., RENE P.", 03-2003, Régression glaciaire au Pic Long – Néouvielle – Les variations des fronts glaciaires – Crevasses marginales, transversales et longitudinales – Les moulins du glacier d’Ossoue – Le colloque annuel de glaciologie, Bulletin de l’Association Moraine n°7, 4p.
"MERVOYER E., RENE P.", 12-2002, L’eau des glaciers pyrénéens – La mesure d’ablation au glacier d’Ossoue – Le rapport annuel d’étude des glaciers – L’iconographie (une méthode d’observation des glaciers) – Un enseignement de glaciologie, Bulletin de l’Association Moraine n°6, 4p.
"MERVOYER E., RENE P.", 09-2002, Implantation des balises d’ablation (glacier d’Ossoue) – Mesures de vitesse d’écoulement (glacier d’Ossoue) – L’eau des glaciers – Les glaciers du Luchonnais – Sortie thématique avec le CAF de Toulouse, Bulletin de l’Association Moraine n°5, 4p.
"MERVOYER E., RENE P.", 06-2002, Mesures d’accumulation au glacier d’Ossoue – La récupération du carottier – Un glacier suspendu au Mont Perdu – Un exercice glaciaire pour les enfants – La sortie glaciologique dans le Luchonnais, Bulletin de l’Association Moraine n°4, 4p.
"MERVOYER E., RENE P.", 03-2002, Le fabuleux destin de l’eau de fonte – L’incroyable glacier des Oulettes – 47 ans dans le glacier des Tempêtes – L’incontournable site Internet – Le colloque annuel de glaciologie, Bulletin de l’Association Moraine n°3, 4p.
"MERVOYER E., RENE P.", 12-2001, Et le glacier du Mont Valier ? – Et celui de Barroude ? – La tragédie d’un jeune chasseur d’isard – Les réalisations de l’Association – Les projets, Bulletin de l’Association Moraine n°2, 4p.
"MERVOYER E., RENE P.", 09-2001, Quelle évolution des glaciers pyrénéens depuis 1850 ? – Quel bilan en l’an 2000 ? – Quel avenir pour le 21ème siècle ? – Le saviez-vous ? – Les réalisations de l’Association – Les projets, Bulletin de l’Association Moraine n°1, 4p.
RENE P. , 2004, Les glaciers des Pyrénées, Brochure, 4p.
RENE P., 1999, Glacier d’Ossoue – Massif du Vignemale, Brochure, Parc National des Pyrénées, 4p.
